"month","pursuits","citizen_initiated_bureau","ops_investigations","commendations"
"2014-01-01T00:00:00.000","3","0","4","20"
"2014-02-01T00:00:00.000","1","3","1","13"
"2014-03-01T00:00:00.000","0","4","2","33"
"2014-04-01T00:00:00.000","1","2","2","25"
"2014-05-01T00:00:00.000","0","0","4","21"
"2014-06-01T00:00:00.000","1","3","1","13"
"2014-07-01T00:00:00.000","1","1","1","25"
"2014-08-01T00:00:00.000","2","1","2","11"
"2014-09-01T00:00:00.000","0","1","0","41"
"2014-10-01T00:00:00.000","1","0","1","35"
"2014-11-01T00:00:00.000","2","0","1","14"
"2014-12-01T00:00:00.000","1","1","1","23"
"2015-01-01T00:00:00.000","1","0","2","21"
"2015-02-01T00:00:00.000","1","1","0","19"
"2015-03-01T00:00:00.000","1","1","3","50"
"2015-04-01T00:00:00.000","2","0","3","25"
"2015-05-01T00:00:00.000","1","4","2","37"
"2015-06-01T00:00:00.000","1","2","0","35"
"2015-07-01T00:00:00.000","1","1","1","55"
"2015-08-01T00:00:00.000","0",
TRUNCATED